Word	[(Document,Count)
1	(1, 61)  (2, 28)  (3, 25)  (4, 34)  (5, 95)  (7, 19)  (8, 13)  (9, 11)  (10, 9) 
START	(1, 1)  (2, 1)  (3, 1)  (4, 1)  (5, 1)  (6, 1)  (7, 1)  (8, 1)  (9, 1)  (10, 1) 
Alexis	(1, 6)  (3, 1)  (5, 1) 
Alejandro	(1, 1)  (2, 2) 
S	(1, 122)  (2, 4)  (3, 3)  (4, 5)  (5, 6)  (7, 5)  (8, 2)  (9, 21)  (10, 7) 
nchez	(1, 122)  (2, 1)  (3, 1)  (5, 1)  (7, 3) 
Spanish	(1, 1)  (2, 33)  (3, 2)  (5, 7)  (6, 3)  (7, 140)  (8, 9)  (9, 7) 
pronunciation	(1, 1)  (2, 1)  (3, 1)  (5, 1)  (6, 1) 
a	(1, 181)  (2, 220)  (3, 115)  (4, 208)  (5, 425)  (6, 36)  (7, 263)  (8, 154)  (9, 20)  (10, 113) 
leksis	(1, 1) 
sant	(1, 1) 
es	(1, 1)  (7, 3) 
born	(1, 1)  (2, 3)  (3, 2)  (4, 2)  (5, 5)  (6, 1)  (7, 6)  (8, 2) 
19	(1, 4)  (2, 4)  (3, 7)  (4, 3)  (5, 11)  (7, 5)  (8, 1)  (9, 1) 
December	(1, 8)  (2, 3)  (3, 1)  (4, 5)  (5, 18)  (6, 1)  (7, 1)  (8, 1)  (9, 6) 
1988	(1, 1) 
also	(1, 12)  (2, 29)  (3, 13)  (4, 41)  (5, 37)  (6, 3)  (7, 47)  (8, 30)  (9, 5)  (10, 10) 
known	(1, 2)  (2, 7)  (3, 1)  (4, 12)  (5, 3)  (6, 3)  (7, 16)  (8, 7)  (9, 2)  (10, 2) 
mononymously	(1, 1) 
as	(1, 45)  (2, 92)  (3, 45)  (4, 168)  (5, 109)  (6, 14)  (7, 148)  (8, 118)  (9, 36)  (10, 72) 
is	(1, 8)  (2, 135)  (3, 13)  (4, 164)  (5, 35)  (6, 5)  (7, 130)  (8, 102)  (9, 11)  (10, 71) 
Chilean	(1, 14)  (3, 7)  (6, 13) 
professional	(1, 3)  (3, 3)  (4, 2)  (5, 6)  (7, 2)  (9, 1) 
footballer	(1, 2)  (3, 4)  (5, 7) 
who	(1, 7)  (2, 17)  (3, 3)  (4, 13)  (5, 25)  (6, 4)  (7, 16)  (8, 13)  (9, 3)  (10, 13) 
plays	(1, 1)  (3, 1)  (5, 3) 
forward	(1, 3)  (2, 1)  (3, 2)  (5, 5) 
for	(1, 60)  (2, 68)  (3, 57)  (4, 81)  (5, 169)  (6, 11)  (7, 63)  (8, 42)  (9, 17)  (10, 49) 
Ligue	(1, 2) 
club	(1, 16)  (3, 24)  (5, 68) 
Marseille	(1, 3) 
and	(1, 81)  (2, 576)  (3, 80)  (4, 577)  (5, 307)  (6, 63)  (7, 617)  (8, 528)  (9, 111)  (10, 181) 
the	(1, 280)  (2, 1014)  (3, 238)  (4, 1172)  (5, 940)  (6, 109)  (7, 1458)  (8, 1145)  (9, 285)  (10, 297) 
Chile	(1, 38)  (2, 12)  (3, 22)  (4, 1)  (5, 1)  (6, 7)  (8, 1) 
national	(1, 5)  (2, 22)  (3, 5)  (4, 10)  (5, 4)  (7, 7)  (8, 4)  (9, 3)  (10, 1) 
team	(1, 15)  (2, 8)  (3, 12)  (5, 25)  (7, 2) 
He	(1, 33)  (2, 19)  (3, 22)  (4, 2)  (5, 79)  (6, 9)  (8, 2)  (9, 2)  (10, 3) 
often	(1, 1)  (2, 3)  (4, 2)  (5, 5)  (7, 9)  (8, 4)  (10, 6) 
lauded	(1, 1) 
greatest	(1, 1)  (2, 3)  (5, 3)  (8, 1) 
player	(1, 12)  (2, 4)  (3, 6)  (5, 73) 
of	(1, 111)  (2, 558)  (3, 89)  (4, 691)  (5, 348)  (6, 67)  (7, 806)  (8, 573)  (9, 158)  (10, 248) 
all	(1, 14)  (2, 32)  (3, 5)  (4, 15)  (5, 40)  (6, 3)  (7, 24)  (8, 9)  (9, 5)  (10, 11) 
time	(1, 15)  (2, 7)  (3, 7)  (4, 9)  (5, 67)  (6, 3)  (7, 12)  (8, 11)  (9, 4)  (10, 3) 
Dubbed	(1, 1) 
El	(1, 1)  (2, 2)  (3, 1)  (5, 3)  (6, 1)  (7, 5) 
Ni	(1, 1) 
o	(1, 1)  (2, 13)  (3, 2)  (5, 5)  (6, 1)  (7, 5)  (8, 1) 
Maravilla	(1, 1) 
The	(1, 10)  (2, 143)  (3, 9)  (4, 148)  (5, 34)  (6, 8)  (7, 192)  (8, 149)  (9, 49)  (10, 30) 
Wonder	(1, 1) 
Child	(1, 1)  (2, 1) 
began	(1, 3)  (2, 6)  (3, 2)  (4, 13)  (5, 6)  (7, 5)  (8, 12)  (9, 2) 
his	(1, 90)  (2, 23)  (3, 76)  (4, 5)  (5, 304)  (6, 20)  (7, 9)  (8, 8)  (9, 2)  (10, 1) 
senior	(1, 4)  (2, 1)  (3, 1)  (4, 2)  (5, 10)  (9, 1) 
career	(1, 8)  (3, 6)  (5, 41)  (6, 2) 
playing	(1, 5)  (3, 7)  (5, 5) 
Cobreloa	(1, 4) 
signed	(1, 8)  (2, 2)  (3, 3)  (4, 1)  (5, 7)  (8, 3) 
with	(1, 44)  (2, 104)  (3, 26)  (4, 108)  (5, 164)  (6, 12)  (7, 103)  (8, 69)  (9, 15)  (10, 22) 
Udinese	(1, 11)  (5, 1) 
in	(1, 201)  (2, 399)  (3, 137)  (4, 462)  (5, 565)  (6, 36)  (7, 497)  (8, 363)  (9, 60)  (10, 130) 
2006	(1, 7)  (2, 2)  (3, 4)  (4, 3)  (5, 9)  (6, 1)  (7, 3) 
aged	(1, 2)  (5, 3)  (8, 1)  (10, 1) 
18	(1, 9)  (2, 2)  (3, 6)  (4, 4)  (5, 15)  (7, 4)  (8, 3)  (10, 2) 
he	(1, 55)  (2, 11)  (3, 47)  (4, 1)  (5, 204)  (6, 15)  (7, 3)  (8, 5)  (10, 2) 
won	(1, 12)  (2, 19)  (3, 10)  (4, 2)  (5, 19)  (7, 3) 
consecutive	(1, 3)  (2, 2)  (3, 4)  (5, 22)  (7, 2) 
league	(1, 16)  (3, 9)  (4, 1)  (5, 39) 
titles	(1, 2)  (3, 2)  (5, 6) 
while	(1, 2)  (2, 7)  (3, 2)  (4, 13)  (5, 14)  (6, 1)  (7, 9)  (8, 17)  (9, 1)  (10, 5) 
on	(1, 58)  (2, 34)  (3, 32)  (4, 56)  (5, 141)  (6, 7)  (7, 54)  (8, 46)  (9, 20)  (10, 22) 
loan	(1, 4)  (5, 2) 
to	(1, 80)  (2, 220)  (3, 67)  (4, 268)  (5, 312)  (6, 33)  (7, 277)  (8, 218)  (9, 38)  (10, 119) 
Colo	(1, 16)  (3, 16) 
River	(1, 2)  (2, 1)  (4, 7)  (7, 3)  (8, 15) 
Plate	(1, 3) 
was	(1, 43)  (2, 94)  (3, 39)  (4, 95)  (5, 136)  (6, 17)  (7, 113)  (8, 83)  (9, 30)  (10, 16) 
subject	(1, 1)  (2, 3)  (4, 1)  (5, 5)  (7, 2)  (10, 4) 
record	(1, 6)  (2, 1)  (3, 3)  (4, 2)  (5, 47)  (7, 1)  (8, 1) 
association	(1, 1)  (4, 1)  (5, 1) 
football	(1, 3)  (2, 1)  (3, 4)  (4, 3)  (5, 23)  (7, 4) 
transfer	(1, 10)  (3, 6)  (5, 22)  (7, 1) 
when	(1, 5)  (2, 9)  (3, 3)  (4, 10)  (5, 11)  (6, 1)  (7, 10)  (8, 9)  (9, 1)  (10, 11) 
Barcelona	(1, 9)  (3, 9)  (5, 9)  (7, 15)  (8, 2) 
2011	(1, 14)  (2, 8)  (3, 9)  (4, 9)  (5, 7)  (7, 7)  (8, 1) 
worth	(1, 2)  (3, 2)  (4, 2)  (5, 3)  (7, 1) 
37	(1, 1)  (2, 1)  (3, 1)  (4, 1)  (5, 2)  (8, 1)  (9, 1) 
5	(1, 13)  (2, 14)  (3, 10)  (4, 13)  (5, 18)  (7, 12)  (8, 4)  (9, 4)  (10, 2) 
million	(1, 7)  (2, 17)  (3, 10)  (4, 54)  (5, 30)  (7, 28)  (8, 32)  (9, 1)  (10, 18) 
becoming	(1, 3)  (2, 2)  (4, 1)  (5, 13)  (7, 2)  (8, 1)  (9, 1)  (10, 2) 
most	(1, 3)  (2, 37)  (3, 1)  (4, 38)  (5, 37)  (6, 2)  (7, 39)  (8, 32)  (9, 2)  (10, 11) 
expensive	(1, 1)  (5, 3)  (7, 1) 
There	(1, 1)  (2, 4)  (4, 4)  (7, 16)  (8, 7)  (10, 6) 
six	(1, 3)  (2, 3)  (3, 2)  (4, 4)  (5, 6)  (7, 4)  (8, 2)  (9, 2)  (10, 1) 
trophies	(1, 1)  (2, 1)  (5, 5) 
including	(1, 4)  (2, 16)  (3, 4)  (4, 27)  (5, 19)  (6, 1)  (7, 11)  (8, 10)  (9, 2)  (10, 9) 
La	(1, 9)  (2, 13)  (3, 9)  (5, 21)  (7, 11) 
Liga	(1, 7)  (3, 4)  (5, 22) 
title	(1, 10)  (2, 2)  (3, 7)  (5, 10) 
Copa	(1, 22)  (3, 20)  (5, 5) 
del	(1, 2)  (2, 16)  (5, 5)  (7, 6) 
